user_id,user_interest_tags
1784659,"demon slayer,re:creators,dragon ball af and fairy tail crossover,female dominance,workplace antics,under the table,insubordination,sexual harassment,blurred boundaries,risky behavior,power dynamics,yandere,forced proximity,boyfriend,anime,my hero academia"
1826447,"my hero academia,for female audience,classmates,one female,roommates,multiple males,female audience,romantic tension,implied affection,college au,katsuki bakugo,anime/comics,demon slayer,jujutsu kaisen"
1829649,"genshin impact,one piece,demon slayer,naruto,chainsaw man,dragon ball,jujutsu kaisen,my dress up darling,crossover,solo leveling,intimate gesture,jealous ex,rivals to friends,loving,gentle touch,legacy,slapstick,eager to please,high school setting,romantic,girlfriend,romance,love triangle,obsession,protective,harem,reverse harem"
1971344,"my hero academia,original character,naruto,jujutsu kaisen,demon lord,crossover,youtubers,multiple fandoms (jujutsu kaisen,naruto),my hero academia/demon slayer,my hero academia characters,naruto characters,slice of life,exchange students,observational humor,mayhem ensues,audience surrogate,midoriya,comedic antics"
1977067,"jujutsu kaisen,pokemon,smiling critters,enemies to lovers,rivals to lovers,mysterious dynamic,king of curses,forced proximity,complex emotions,intense rivalry,jujutsu sorcerer,self-insert,romance,kpop,supernatural,girlfriend,protective,bts,vampire,werewolf,magic"
2011529,"my hero academia,jujutsu kaisen,demon slayer,naruto,genshin impact,hazbin hotel,blindfold,summoning,prank gone wrong,supernatural power,cross-universe misunderstanding,misinterpretation,different morality,culture clash,character collision,forced conflict,supernatural,anime,girlfriend,romance,movies tv,harry potter,dc comics,solo leveling,forbidden love,cheating"
2030035,"classroom of the elite,naruto,jujutsu kaisen,high school dxd,isekai,supernatural,my hero academia,demon slayer,crossover,one piece,reverse harem,tsundere,unrequited love,teasing,femboy,mistrust,obsessive crush,emotionally stunted,boob smother,high intellect,girlfriend,modern"
2096406,"naruto,parent to child,manipulative,emotional manipulation,mother,mother x son,non-consensual sexual act,obsessive,incest,yandere,grooming"
2177826,"high school dxd,supernatural,murder drones,demon slayer: kimetsu no yaiba,solo leveling,my hero academia/demon slayer,naruto,jujutsu kaisen,my hero academia,one piece,reverse harem,school setting,harem,multiple love interests,protective,possessive,romantic comedy,female dominance,playful conflict,yandere,girlfriend,romance,anime,game,kpop,horror,scifi,school,modern,drama,forbidden love,love triangle,enemies to lovers,obsession,superpower,werewolf,magic,chainsaw man,demon slayer,crossover,pokemon,bts,hauntings,cyberpunk,school romance,cheating,slice of life,revenge,family drama,genderbend,comedy,underdog"
2180054,"romance,girlfriend,forbidden love,cheating,love triangle,enemies to lovers,reverse harem,yaoi"
2225796,"jujutsu kaisen,doki doki literature club!,explicit suggestive remarks,power imbalance,drunkenness,unwanted advances,suggestive behavior,flirting,loss of inhibition,violent implications,forced affection,possessive behavior,anime,game,school,modern,genshin impact"
2227019,"demon slayer,pokemon,established love,established relationship,joint combat,canon couple,power couple,consensual sex,skilled fighters,mutual affection,future planning,mutual desire"
2294204,"naruto,fatebreaker,timeline alteration,feared by authority figures,unique aura,jiraiya interest,overpowered protagonist,canon defiance,overpowered,itachi obsession,guidance seeking,girlfriend,romance,drama,modern,school,supernatural,anime,game,movies tv,horror,scifi,forbidden love,enemies to lovers,harem,cheating,slice of life,comedy,revenge,mafia,school romance,superpower,vampire,werewolf,magic,chainsaw man,demon slayer,my hero academia,crossover,genshin impact,harry potter,marvel,zombies,cyberpunk,apocalypse"
2344014,"isekai,naruto,harem,stranded,summoning jutsu,terumi mei,unfathomable power,temari,shonen anime setting,threat to status quo,mysterious powers,outsider,girlfriend,modern,supernatural"
2345859,"roblox,my hero academia/demon slayer/jujutsu kaisen (crossover),my hero academia,doki doki literature club,my hero academia/demon slayer,female,web developer,roblox gamers,roblox owner,hidden affection,harem,secret identity,supporting character,quiet demeanor,dramatic flair,anime,demon slayer,naruto"
2350474,"my hero academia,power imbalance,atoning for past,soft spot for child,parental redemption,predator/prey relationship,sibling rivalry,vampire/human,developing quirk,brooding,hero dad,boyfriend,anime,game,demon slayer"
2350494,"naruto,my hero academia,isekai,darling in the franxx,zenless zone zero,black rock shooter,genshin impact,team threat,self-insert,jonin,team leader,protective sensei,sharingan,unstable chakra,nine-tailed fox,power leak,toddler-like speech,anime,movies tv,scifi"
2351974,"high school dxd,desire for freedom,obsessive,suffocation,yandere girlfriend,fear of abandonment,marital problems,overprotective,insecure,suffocating affection,supernatural school,girlfriend,school,romance,anime,school romance"
2352675,"my hero academia,demon slayer,my hero academia/jujutsu kaisen,isekai,reverse harem,unconventional family,muzan kibutsuji as father figure,conflicting ideologies,paternal instincts,human child,found family,child welfare,child protagonist,demon slayer admirers,anime,school,romance,drama,obsession"
2355575,"chainsaw man,humiliation,submissive protagonist,voyeurism,explicit fantasies,psychological manipulation,forced confession,power dynamics,dominant woman,awkwardness,uncomfortable third party,romance,anime,naruto"
2357354,"one piece,my hero academia,naruto,pokémon,harem,reverse harem,male protagonist,rivalry,male,love triangle,fire ball quirk,adventure,superhero,superpowers,girlfriend,romance,protective"
2357426,"crossover,the incredibles,humorous chaos,high school setting,superpowered characters,goth subculture,skillful protagonist,fish out of water,problem-solving,rival factions,reverse harem,teenage versions,anime,movies tv,romance"
2362174,"my hero academia,sonic the hedgehog,crossover,jujutsu kaisen,one piece,cookie run,demon slayer,five nights at freddy's,shadow the hedgehog,sonic the hedgehog / oggy and the cockroaches,female,unrequited love,horror,reverse harem,protective,insecurity,team dynamics,third wheel,loyalty,established friendship,game,hauntings"
2365364,"alien,girlfriend,interspecies romance,self-insert,male,alien girlfriend,supernatural romance,first contact,magic powers,damsel in distress,secret feelings,horror,game,supernatural,romance"
2366165,"school setting,bully rescue,courageous protagonist,protective instincts,sudden intervention,white knight,introverted victim,morally driven,girlfriend,romance,drama,supernatural,enemies to lovers,protective,underdog,revenge,bully,werewolf,magic"
2366685,"one piece,customer/barista,for male audience,female audience,nico robin,coffee shop au,budding romance,enigmatic,self-insert,romance chatbot,toxic,girlfriend,romance,forbidden love"
2367905,"isekai,dc universe,teen titans,sonic the hedgehog,solo leveling,moral dilemma,self-insert,team allegiance,choice driven,powers via reincarnation,hero to villain,harem,super powers,alignment choice,revenge,romance,boyfriend,school,forbidden love,love triangle,protective,school romance"
2370305,"original work,naruto,isekai,tickle torture,tsundere,smoker,vulnerability,childhood friends,reverse harem,chosen one,yandere,rivals to lovers,revenge,boyfriend,supernatural,girlfriend"
2372904,"genshin impact,isekai,pokémon,fairy tail,doki doki literature club,infinite stratos,tokyo revengers,life-changing moment,unaware love interest,multiple partners,competitive background,dom/sub relationship,baby daddy,competitive love interests,mother x daughter,magical abilities,elimination of rivals,supernatural,anime,movies tv,kpop,superpower,vampire,magic,werewolf,marvel,bts,blackpink"
2373979,"five nights in anime / naruto,five nights in anime,naruto,crossover,chainsaw man,bleach,genshin impact,my hero academia,vtuber,five nights at freddy's,anime,reverse harem,teasing,animatronics,kunoichi,romantic comedy,flirting,competition,suggestive,planned seduction,harem,girlfriend,school,romance"
2376105,"naruto,lookism,high school dxd,active female lead,friends to lovers,first date,long-standing friendship,invites male lead home,mutual awkwardness,childhood crush,recognizes growth,unrequited love,female - initially unaware"
2376144,"jujutsu kaisen,murder drones,paw patrol,yu-gi-oh! gx,supernatural,naruto,astro bot,murder drone,shrinking,heroic,superpower,animal protagonist,teamwork,twin dynamic,good vs evil,heroic antagonist,waking up in enemy territory,girlfriend,anime,scifi"
2376716,"naruto,my hero academia,pokemon,jujutsu kaisen,danmachi,high school dxd,yakuza,blue lock,rivalry,ruthless protection,female dominance,obsessive,unhealthy fixation,eliminating competition,multiple love interests,competition,self-insert,yandere,girlfriend,modern,drama,romance,game,anime,horror,supernatural,school,office,mafia,slice of life,family drama,bully,protective,obsession,genshin impact,zombies,crossover,superpower,magic,vampire,werewolf,comedy"
2378546,"girlfriend,romance,protective,harem,reverse harem,obsession,love triangle"
2380344,"naruto,self-insert,abuse of power,bully,bully and victim,tsundere,hidden feelings,hidden admiration,unrequited love,love confession letter,girlfriend,romance,school,anime,scifi,forbidden love,obsession,enemies to lovers,protective,crossover,apocalypse"
2383365,"my hero academia,crossover,scp foundation,genshin impact,scp foundation/genshin impact/tensura,solo leveling,my hero academia / demon slayer,demon slayer,naruto,chainsaw man / genshin impact / naruto,reverse harem,family opposition,strange bedfellows,forbidden love,unrequited love,understanding parent,rival love interests,tensura,cosmic horror,supportive villain,romance,scifi,kpop,drama,movies tv,anime,supernatural,modern,boyfriend,girlfriend,school,game,horror,love triangle,bts,protective,obsession,enemies to lovers,harem,yaoi,bully,revenge,comedy,genderbend,slice of life,underdog,family drama,yuri,cheating,office,mafia,school romance,school bully,vampire,superpower,werewolf,magic,chainsaw man,pokemon,harry potter,hazbin hotel,marvel,blackpink,hauntings,zombies,cyberpunk,apocalypse"
2386954,"bungou stray dogs,naruto,power fantasy,secret crush,tsundere,self-destructive,stockholm syndrome,forbidden love,yandere,brother/sister,non-consensual,forced servitude,girlfriend,romance,drama,obsession,enemies to lovers,harem"
2387415,"girlfriend,romance,movies tv,anime,school,love triangle,hazbin hotel,my hero academia,naruto,demon slayer,chainsaw man,marvel,school romance"
2391706,"demon slayer,my hero academia,rivalry,unrequited love,m x f x m,tsundere,mafia boss,female protagonist,possessive female,male admirers,damsel in distress,childlike,romance,school,anime,kpop,horror,supernatural,drama,modern,game,movies tv,scifi,boyfriend,girlfriend,cheating,harem,protective,forbidden love,school romance,school bully,naruto,blackpink,bts,zombies,hauntings,superpower,vampire,magic,werewolf,slice of life,comedy,revenge,genderbend,family drama,office,mafia,bully,underdog,yaoi,yuri,reverse harem,love triangle,chainsaw man,crossover,genshin impact,pokemon,harry potter,hazbin hotel,marvel,cyberpunk,apocalypse,enemies to lovers,obsession"
2399324,"high school dxd,naruto,demon slayer/kimetsu no yaiba,reverse harem,harem,flirtatious interactions,self-insert,half-fox,elemental abilities,accidental reveal,hidden identity,elemental powers,occult club girls,girlfriend,anime,horror"
2401764,"dragon ball,dragon ball/z and jujutsu kaisen,naruto,crossover,one punch man,isekai,my hero academia,genshin impact,demon lord,high school dxd,universe survival,transformation,ultra ego,high stakes,zombie apocalypse,vegeta,protective instincts,high school,rivalry,electro manipulation,supernatural,game,horror,anime,school,modern,drama,romance,girlfriend,boyfriend,movies tv,scifi,kpop,hazbin hotel,marvel,apocalypse,bts,cyberpunk,blackpink,harry potter,zombies,hauntings,magic,enemies to lovers,obsession,protective,love triangle,harem,forbidden love,reverse harem,underdog,bully,revenge,slice of life,school bully,school romance,werewolf,vampire,demon slayer,superpower,chainsaw man,mafia,office,family drama,cheating,comedy,yuri,genderbend,yaoi"
2416904,"my hero academia,multiple love interests,hiding in plain sight,hidden feelings,married couple,protective brother,yandere,tsundere,aggressive affection,shoto todoroki,my hero academia setting,romance,anime,supernatural,drama,game,horror,boyfriend,school,magic,demon slayer,werewolf,obsession,vampire,superpower"
2417574,"jujutsu kaisen,toxic,romance chatbot,rockstar romance,power couple,confident girlfriend,lead singer,supportive partner,kugisaki nobara,female audience,devoted partner"
2421484,"demon slayer,genshin impact,isekai,crossover,genshin impact x demon slayer,dragon ball z,jujutsu kaisen,demon slayer/dragon ball z,dragon ball,solo leveling/demon slayer,squid game/anime,aether x paimon - misunderstanding,mistaken for lovers,harem,tanjiro x mitsuri - unrequited love,aether x paimon,inosuke x paimon - predator x prey,forced proximity,best friends,demon slayer x genshin impact,survival horror,girlfriend,romance,boyfriend,anime,game,chainsaw man,naruto,my hero academia"
2434926,"isekai,naruto,romance,male protagonist,girlfriend,medical ninja girlfriend,modern world to fantasy world,male,supernatural element,caring girlfriend,self-insert,modern,anime"
2435634,"obsessive ceo,possessive boyfriend,m x f x m,ceo,love triangle,reverse harem,yandere mafia boss,age gap,mafia boss,toxic,girlfriend,boyfriend,drama,school,revenge,bully,school bully,school romance"
2435915,"jujutsu kaisen,romance,attractive despite,mentor/student,secretly cherishes attention,femboy,odd couple,clueless,power imbalance,gojo satoru,toxic,supernatural,forbidden love"
2436489,"high school dxd,fairy tail,my hero academia,one piece,vore,possessive,multiple partners,stomach expansion,voraphilia,captivity,non-digestion,reverse harem,good looking,male protagonist,girlfriend,romance,supernatural,love triangle,werewolf,protective,harem"
2437837,"demon slayer: kimetsu no yaiba,demon slayer,powerful character,backstory,the ace,historical setting,sengoku era,unmatched power,romantic interest,rival,playful teasing,hidden feelings,anime,girlfriend,boyfriend"
2438994,"jujutsu kaisen,hidden soft spot,yandere boyfriend,poverty,reserved,stoic,reluctant bride,forced proximity,assassin,reluctant groom,yandere husband,romance,enemies to lovers,love triangle"
2439248,"genshin impact,naruto,bts,romance chatbot,toxic,romance,ipchatbot,female audience,power imbalance,student-teacher romance,private setting,suggestive dialogue,male student,girlfriend,obsession"
2439358,"my hero academia,step siblings,aggressive behavior,enemies to lovers,hidden feelings,tsundere,blushing,childhood bully,forced proximity,nanny,undercover cop,romance,supernatural,anime,game,horror,drama,school,modern,scifi,movies tv,boyfriend,kpop,forbidden love,protective,vampire,werewolf,magic,demon slayer,naruto,chainsaw man,crossover,genshin impact,hauntings,zombies,cyberpunk,apocalypse,revenge,school romance,mafia,hazbin hotel,harry potter,obsession,love triangle,office,pokemon,bts,blackpink,slice of life,school bully"
2440246,"manipulative,high school setting,cheating,rivalry,self-insert female,best friends ex,bully romance,ex-lovers,f/m/f,double life,school,romance,kpop,school bully,enemies to lovers,forbidden love"
2441764,"jujutsu kaisen,bts,my hero academia,overlord,yandere,romance,kpop,self-insert,first time waking up together,idol/fan romance,power imbalance,reverse harem,interrogation,accidental intimacy,game,supernatural,love triangle,werewolf,enemies to lovers"
2442256,"girlfriend,anime,boyfriend,romance,my hero academia,demon slayer"
2459547,"boyfriend,romance,enemies to lovers,obsession"
2460095,"distant,turkish language only,chaos sorceress,self-insert,tenderness,harem,seduction,worship,reverse harem,implied dominance,girlfriend,romance,drama,supernatural,movies tv,game,anime,scifi,horror,forbidden love,obsession,revenge,superpower,magic,apocalypse,hauntings,zombies"
2609975,"boyfriend,girlfriend,romance,drama,modern,school,supernatural,anime,game,kpop,horror,scifi,love triangle,forbidden love,enemies to lovers,obsession,protective,harem,reverse harem,yaoi,yuri,slice of life,underdog,comedy,genderbend,revenge,office,mafia,school romance,superpower,vampire,werewolf,magic,demon slayer,naruto,my hero academia,crossover,pokemon,hauntings,zombies,cyberpunk,apocalypse"
2610664,"girlfriend,romance,forbidden love,obsession,enemies to lovers,harem"
2617294,"boyfriend,drama,girlfriend,romance,modern,school,supernatural,anime,movies tv,horror,kpop,game,scifi,love triangle,enemies to lovers,forbidden love,obsession,harem,protective,reverse harem,cheating,slice of life,yaoi,yuri,underdog,family drama,comedy,genderbend,revenge,bully,office,mafia,school romance,school bully,werewolf,superpower,vampire,magic,naruto,crossover,demon slayer,chainsaw man,my hero academia,harry potter,hazbin hotel,marvel,hauntings,bts,zombies,blackpink,genshin impact,pokemon,apocalypse,cyberpunk"
